url,europeana_issue_id,datestamp,date,publisher,spatial_distribution,spatial_origin,languages
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010653435:mpeg21:a0126,/9200359/BibliographicResource_3000115721450,2021-01-06T02:54:12.796Z,1918-11-12,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010164666:mpeg21:a0054,/9200359/BibliographicResource_3000113010373,2021-01-06T20:03:34.153Z,1900-09-20,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010104765:mpeg21:a0108,/9200359/BibliographicResource_3000112779584,2021-01-07T05:28:17.585Z,1895-01-06,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010108209:mpeg21:a0135,/9200359/BibliographicResource_3000112916148,2021-01-06T23:40:27.753Z,1908-10-19,Steendrukkerĳ Roeloffzen en Hübner;NV De Kleine Courant,Regionaal/lokaal,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010176884:mpeg21:a0007,/9200359/BibliographicResource_3000112949276,2021-01-07T01:07:00.156Z,1897-06-28,A.W. Sĳthoff,Regionaal/lokaal,Rotterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010651390:mpeg21:a0142,/9200359/BibliographicResource_3000115194987,2021-01-06T21:51:51.839Z,1913-11-08,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110527751:mpeg21:a0205,/9200359/BibliographicResource_3000115828934,2021-01-06T07:07:27.784Z,1940-02-20,A. Sĳthoff jr.,Regionaal/lokaal,s-Gravenhage,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:110619701:mpeg21:a0063,/9200359/BibliographicResource_3000115942536,2021-01-06T15:50:26.926Z,1919-08-15,Lont & Overkamp Pub. Co.,Verenigde Staten,"Paterson, New Jersey",nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010660290:mpeg21:a0003,/9200359/BibliographicResource_3000112789284,2021-01-07T06:04:47.709Z,1925-10-26,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010602860:mpeg21:a0080,/9200359/BibliographicResource_3000115466299,2021-01-05T19:52:01.290Z,1923-08-06,D.R. Smeding en M. Koon,Regionaal/lokaal,Leeuwarden,nl
https://www.delpher.nl/nl/kranten/view?coll=ddd&identifier=ddd:010660973:mpeg21:a0002,/9200359/BibliographicResource_3000112821177,2021-01-07T07:33:28.722Z,1930-01-13,P. den Hengst en Zoon [etc.],Landelijk,Amsterdam,nl
