anonymised_participant_id,time_taken,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
142,1030.279,36,Netherlands,Netherlands,Part-Time,Dutch,Dutch,Netherlands,Female,No
141,1527.138,36,Philippines,United Kingdom,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,"Dutch, English, Tagalog-Filipino",Netherlands,Female,No
155,642.215,28,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Female,No
157,1121.991,33,United Kingdom,United Kingdom,DATA EXPIRED,English,"Dutch, English",United Kingdom,Female,DATA EXPIRED
156,1766.388,36,Poland,Poland,DATA EXPIRED,Polish,"Dutch, Polish, English",Poland,Female,DATA EXPIRED
175,643.18,43,Belgium,Belgium,Part-Time,Dutch,"English, Dutch, French",Belgium,Female,No
153,1098.306,31,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, Chinese",Netherlands,Female,No
151,1138.172,37,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
150,991.839,31,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, German, English",Netherlands,Male,No
167,535.357,43,South Africa,United Kingdom,Full-Time,English,"English, Dutch, Afrikaans",United Kingdom,Female,No
168,915.641,21,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Male,DATA EXPIRED
149,1213.487,42,Belgium,Netherlands,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
165,2019.999,19,Netherlands,Netherlands,DATA EXPIRED,Dutch,Dutch,Netherlands,Female,Yes
162,1265.962,48,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
163,1045.123,30,Belgium,Belgium,Full-Time,Dutch,"Dutch, French, German, English",Belgium,Male,No
176,1627.274,41,Hungary,Netherlands,Other,Hungarian,"English, Dutch, German, Hungarian",Hungary,Female,No
160,1046.453,32,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
158,1053.299,52,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Female,DATA EXPIRED
174,647.679,29,Belgium,Belgium,Full-Time,Dutch,"English, Dutch",Belgium,Male,No
172,1354.459,54,Netherlands,Norway,Part-Time,Dutch,"Dutch, English, German, Norwegian",Netherlands,Male,No
173,1377.225,24,Greece,Belgium,Full-Time,Dutch,"English, Dutch",Belgium,Female,DATA EXPIRED
170,873.722,20,Greece,Greece,Full-Time,Greek,"Dutch, English, German, Spanish, French",Greece,Female,Yes
185,845.884,26,Belgium,Belgium,Full-Time,Dutch,"English, Dutch",Belgium,Male,No
182,1221.94,20,Belgium,Belgium,Other,Dutch,"Dutch, English, French",Belgium,Male,Yes
181,1731.408,34,Belgium,Belgium,Unemployed (and job seeking),Spanish,"English, Afrikaans, French, Dutch, Spanish",Belgium,Male,DATA EXPIRED
183,556.908,22,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Female,Yes
179,1191.031,26,Netherlands,Netherlands,Full-Time,Dutch,Dutch,Netherlands,Female,DATA EXPIRED
178,1465.732,23,China,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,Yes
177,1332.789,22,Italy,Italy,Other,Italian,"Italian, English, German, Dutch, Chinese",Italy,Male,Yes
193,2699.681,48,Netherlands,Netherlands,DATA EXPIRED,Dutch,Dutch,Netherlands,Female,DATA EXPIRED
191,932.016,31,Belgium,Belgium,Part-Time,Dutch,"English, Dutch, French",Belgium,Female,Yes
189,1497.311,39,Indonesia,Netherlands,Part-Time,Dutch,"Dutch, English",Belgium,Male,No
190,1060.548,30,Netherlands,Netherlands,Part-Time,Dutch,Dutch,Netherlands,Female,Yes
188,767.707,20,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
186,788.451,29,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
200,1250.704,37,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
199,3134.97,25,Belgium,Belgium,Unemployed (and job seeking),Dutch,"Dutch, English",Belgium,Male,No
198,1460.518,36,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
197,1077.078,33,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,DATA EXPIRED
196,1066.924,47,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
194,414.915,19,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,No
215,1394.223,24,Belgium,Belgium,Part-Time,Dutch,"Dutch, English, French",Belgium,Female,Yes
204,1478.118,37,Netherlands,Spain,Full-Time,Dutch,"English, Spanish, Dutch",Netherlands,Female,No
207,829.256,20,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, German",Netherlands,Male,Yes
206,829.012,28,Netherlands,United States,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
205,1390.741,24,Greece,Greece,Unemployed (and job seeking),Greek,"Dutch, English, French, Greek, German, Italian, Korean, Portuguese, Romanian, Russian, Serbian, Spanish, Swedish, Turkish, Czech, Croatian, Finnish, Hungarian, Icelandic, Japanese, Macedonian, Maltese, Norwegian, Polish, Scots, Slovak, Slovenian",Greece,Male,Yes
203,799.761,21,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Male,Yes
214,3234.609,46,Netherlands,United Kingdom,Part-Time,English,"Dutch, English",Netherlands,Female,No
211,3426.213,23,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,Yes
202,616.504,22,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Male,DATA EXPIRED
201,1661.199,43,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
213,657.836,23,Belgium,Belgium,Other,French,"Dutch, English, French",Belgium,Male,Yes
210,1345.343,26,Belgium,Belgium,Other,French,"English, French, Dutch",Belgium,Female,Yes
209,2964.736,22,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
208,1624.25,32,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
222,914.342,37,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
221,833.548,24,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, German, English",Netherlands,Female,Yes
219,2358.814,31,India,Belgium,Due to start a new job within the next month,English,"English, Hindi, Dutch",India,Female,No
220,957.429,22,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"English, Dutch",Netherlands,Male,Yes
218,951.878,55,Netherlands,United Kingdom,DATA EXPIRED,Dutch,"Dutch, German, English",Netherlands,Male,DATA EXPIRED
230,1571.687,40,Belgium,Belgium,Full-Time,Dutch,"Chinese, Dutch, English, French, German",Belgium,Male,No
217,1216.682,27,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
227,1340.048,20,Belgium,Belgium,Other,Dutch,"Dutch, English, French",Belgium,Male,Yes
229,1252.333,21,Belgium,Belgium,Other,Dutch,"Dutch, English, French, German",Belgium,Female,Yes
226,587.742,31,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
225,540.505,37,Netherlands,Spain,Full-Time,Dutch,"English, Spanish, Dutch",Netherlands,Male,No
223,1419.278,38,Netherlands,Spain,Full-Time,Dutch,"Dutch, English, Spanish",Netherlands,Female,No
224,579.041,20,Belgium,Belgium,Part-Time,Dutch,"English, Dutch, French",Belgium,Male,Yes
239,672.246,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
237,505.655,36,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French, German",Belgium,Male,No
236,1071.897,30,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
234,1297.238,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
233,228.759,29,Belgium,Belgium,Full-Time,Dutch,"English, Dutch, French",Belgium,Male,No
232,787.603,32,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
246,477.659,30,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French, German",Belgium,Female,No
242,313.411,18,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
245,485.359,31,Croatia,Netherlands,DATA EXPIRED,Dutch,"English, Dutch, Croatian, Serbian, German",Netherlands,Male,DATA EXPIRED
244,313.686,21,Netherlands,Netherlands,Other,Dutch,"Dutch, English, German",Netherlands,Female,Yes
240,1255.629,19,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Male,Yes
243,435.335,24,Belgium,Belgium,Full-Time,Dutch,"Dutch, French, English",Belgium,Male,DATA EXPIRED
241,337.01,25,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Male,Yes
235,281.036,22,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
145,692.341,31,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Female,No
212,752.561,43,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English, French, German",Netherlands,Female,No
22,1202.604,27,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
91,1520.973,44,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
154,383.427,20,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Male,Yes
187,720.233,43,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English, French, Spanish",Belgium,Male,DATA EXPIRED
50,1310.369,23,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,DATA EXPIRED
106,684.722,29,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
180,1525.028,21,Portugal,Portugal,Part-Time,Portuguese,"Catalan, Dutch, English, French, Italian, Portuguese, Spanish, German",Portugal,Male,Yes
19,1853.083,26,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
86,1366.173,28,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,Yes
171,1519.908,22,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Male,Yes
238,1393.692,26,Poland,Poland,Full-Time,Polish,"English, Swedish, Portuguese, Polish, Norwegian, Italian, German, Finnish, French, Dutch, Danish, Czech, Spanish",Poland,Male,No
68,2408.36,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
216,691.575,26,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
169,2635.903,40,India,Netherlands,Full-Time,Hindi,"English, Dutch, Hindi",India,Male,Yes
228,571.634,25,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, German",Netherlands,Male,No
59,554.501,20,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,Yes
14,1530.991,27,Indonesia,Netherlands,Full-Time,Indonesian,"English, Indonesian, Dutch",Indonesia,Male,No
47,437.614,25,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
30,2779.928,24,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Female,No
184,1458.162,21,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,Yes
103,1497.331,28,Netherlands,Netherlands,Full-Time,Dutch,"Spanish, English, Chinese, Dutch, Japanese",Netherlands,Male,DATA EXPIRED
40,721.421,24,Netherlands,Netherlands,Due to start a new job within the next month,Dutch,"Dutch, English",Netherlands,Male,Yes
195,393.668,24,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Male,No
36,1636.341,20,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
159,3529.814,25,Greece,Greece,Unemployed (and job seeking),Greek,"Greek, German, French, Albanian, Czech, Dutch, English, Finnish, Italian, Portuguese, Russian, Spanish, Swedish, Turkish",Greece,Male,Yes
121,1349.267,42,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch, French, German",Netherlands,Female,DATA EXPIRED
71,1642.105,19,Belgium,Belgium,Unemployed (and job seeking),Dutch,"Dutch, English",Belgium,Male,Yes
161,1600.914,61,Netherlands,South Africa,Full-Time,Dutch,"English, Dutch, Afrikaans, German",Netherlands,Male,No
152,2376.151,45,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, German",Netherlands,Female,No
166,1324.901,43,Belgium,Spain,Other,Spanish,"Dutch, German, French, Spanish, Italian, English",Belgium,Male,No
143,1377.571,32,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
125,874.748,34,Netherlands,Netherlands,Other,Dutch,"German, Dutch, English",Netherlands,Male,Yes
136,1311.351,20,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, German",Netherlands,Male,Yes
115,1733.975,28,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
4,1159.5,35,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
231,983.487,31,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, German",Netherlands,Male,No
54,471.279,22,Belgium,Belgium,Part-Time,Dutch,"Dutch, English",Belgium,Female,Yes
192,1812.633,72,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Male,No
164,2664.616,22,Belgium,Belgium,DATA EXPIRED,Dutch,"English, Dutch",Belgium,Female,No
128,1066.834,38,Netherlands,United States,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
131,1448.832,23,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Female,Yes
89,1725.005,24,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, French, German, Spanish",Netherlands,Female,Yes
53,1111.478,27,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
35,921.548,24,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
248,2010.773,32,Netherlands,Netherlands,Full-Time,Dutch,Dutch,Netherlands,Male,DATA EXPIRED
2,838139.768,52,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
252,890.861,,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
251,1112.796,47,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
250,1321.929,23,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Male,DATA EXPIRED
249,1423.853,24,Netherlands,Netherlands,Due to start a new job within the next month,Dutch,"Dutch, English",Netherlands,Male,Yes
247,1138.148,34,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Female,No
259,344.87,34,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, Hebrew",Netherlands,Female,No
258,725.191,26,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
257,1353.789,28,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,No
256,612.661,31,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, Italian, German, Portuguese, Russian, Spanish, French",Netherlands,Male,No
255,788.491,75,Netherlands,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Male,No
254,1110.483,35,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
253,778.716,25,Iran,Hungary,Unemployed (and job seeking),English,"Chinese, English, Farsi, French, German, Hungarian, Italian, Japanese, Pashto, Portuguese, Russian, Spanish, Mandarin, Punjabi, Gujarati, Arabic, Dutch",Iran,Male,Yes
262,898.267,42,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,No
265,529.854,27,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English",Belgium,Male,No
264,607.284,19,Belgium,Belgium,Unemployed (and job seeking),Dutch,"Dutch, English",Belgium,Female,Yes
263,1269.278,19,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Male,DATA EXPIRED
261,608.201,37,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
260,441.91,24,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Female,Yes
271,1130.901,50,Netherlands,Netherlands,Other,Dutch,Dutch,Netherlands,Female,No
269,865.345,19,Poland,Poland,Unemployed (and job seeking),Polish,"English, Dutch, Polish",Poland,Male,Yes
270,1116.368,42,United Kingdom,United Kingdom,Full-Time,English,"Dutch, English",United Kingdom,Male,No
268,1348.447,20,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Male,Yes
267,1544.806,28,Netherlands,Netherlands,Full-Time,English,"Dutch, English, French",Netherlands,Male,No
266,735.48,24,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Male,Yes
277,2884.604,33,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
276,1413.079,32,Netherlands,United States,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Female,DATA EXPIRED
275,1202.838,36,Netherlands,Norway,DATA EXPIRED,Dutch,"Dutch, English, Norwegian, Spanish",Netherlands,Female,DATA EXPIRED
274,769.96,22,Belgium,Belgium,DATA EXPIRED,Dutch,Dutch,Belgium,Female,DATA EXPIRED
273,565.81,20,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Male,Yes
272,2184.183,39,Belgium,United States,DATA EXPIRED,Dutch,"Dutch, English",United States,Female,DATA EXPIRED
283,445.711,24,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
282,1453.28,20,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Male,Yes
281,1185.168,36,Netherlands,Czech Republic,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
280,743.259,22,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Male,Yes
279,678.964,26,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
289,1119.403,29,Spain,Belgium,Full-Time,Spanish,"English, Dutch, Spanish",Spain,Female,No
278,968.961,25,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English, Spanish",Netherlands,Female,Yes
288,1049.658,30,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
287,889.307,33,United States,Netherlands,Part-Time,DATA EXPIRED,"English, Dutch",United States,Male,No
294,1215.299,30,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, French, German, Swedish, Norwegian, Danish",Netherlands,Male,No
285,2336.762,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
