anonymised_participant_id,time_taken,age,Country of Birth,Current Country of Residence,Employment Status,First Language,Fluent languages,Nationality,Sex,Student Status
344,712.221,25,Netherlands,United Kingdom,Unemployed (and job seeking),Dutch,"English, Dutch, German",Netherlands,Female,No
346,690.518,25,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,No
345,999.851,31,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French, German",Belgium,Female,No
343,630.988,26,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,Yes
354,663.582,22,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
353,513.435,26,United Kingdom,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Male,No
352,908.998,20,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,DATA EXPIRED,DATA EXPIRED
351,1085.045,44,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, German",Netherlands,Female,No
350,675.374,24,Belgium,Belgium,Full-Time,Dutch,"Dutch, English, French",Belgium,Male,No
349,1799.552,29,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
359,1047.016,39,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,No
358,1277.335,33,Belgium,Belgium,Full-Time,Dutch,"Dutch, English",Belgium,Male,No
357,1829.473,26,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
356,1899.548,19,Netherlands,Netherlands,DATA EXPIRED,Dutch,Dutch,Netherlands,Male,DATA EXPIRED
355,476.468,1,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
363,2605.195,27,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
362,1742.445,21,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English, German",Netherlands,Male,Yes
361,1075.608,28,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,No
360,1101.998,25,Netherlands,Netherlands,Other,Dutch,"English, Dutch",Netherlands,Male,Yes
370,4793354.29146,22,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Male,Yes
369,1298.898,42,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English, German, French",Netherlands,Male,DATA EXPIRED
368,1901.76,42,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Female,No
367,664.96,19,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
366,636.405,23,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Male,Yes
365,707.947,23,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,Yes
364,1471.546,23,Mexico,Mexico,Part-Time,Spanish,"English, Dutch, Spanish",Mexico,Male,No
377,937.651,20,Netherlands,Netherlands,DATA EXPIRED,Dutch,Dutch,Netherlands,Male,Yes
376,1668.806,37,Netherlands,Netherlands,Full-Time,Dutch,Dutch,Netherlands,Male,No
375,823.66,32,Belgium,Belgium,DATA EXPIRED,Dutch,"Dutch, English, French",Belgium,Male,DATA EXPIRED
374,910.289,27,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,Yes
373,1001.004,21,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English",Netherlands,Female,No
372,1826.45,31,Netherlands,United Kingdom,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
371,1453.399,32,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English, Afrikaans, Arabic",Netherlands,Male,No
384,3318.444,23,Netherlands,Netherlands,Unemployed (and job seeking),Dutch,"Dutch, English, Turkish",Turkey,Male,Yes
383,670.873,20,Netherlands,Netherlands,DATA EXPIRED,Chinese,"Chinese, Dutch, English",Netherlands,Male,Yes
382,1103.308,28,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"Dutch, English",Netherlands,Female,No
381,1307.693,42,Netherlands,New Zealand,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"English, Dutch, German, French, Spanish, Danish",Netherlands,Male,No
380,3155.76,27,Netherlands,Netherlands,"Not in paid work (e.g. homemaker', 'retired or disabled)",Dutch,"English, Dutch",Netherlands,Male,Yes
379,494.364,28,Netherlands,Korea,Full-Time,Dutch,"Dutch, German, Korean, English",Netherlands,Male,Yes
378,786.679,30,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,Yes
390,701.44,23,Netherlands,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,Yes
389,2178.149,32,Belgium,Belgium,DATA EXPIRED,Dutch,"English, Dutch",Belgium,Male,DATA EXPIRED
388,760.132,30,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,No
387,490.234,35,Netherlands,Netherlands,Part-Time,Dutch,"English, German, Dutch",Netherlands,Male,No
386,1331.926,,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED,DATA EXPIRED
385,606.003,38,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
397,1659.008,42,Netherlands,Netherlands,DATA EXPIRED,Dutch,"Dutch, English",Netherlands,Female,DATA EXPIRED
396,1071.229,46,Netherlands,Netherlands,DATA EXPIRED,Dutch,"English, Dutch",Netherlands,Male,DATA EXPIRED
395,934.171,30,Belgium,Belgium,Full-Time,Dutch,"English, Dutch, French",Belgium,Male,No
394,1414.451,25,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Female,No
393,430.543,46,Suriname,Netherlands,Other,Dutch,"Dutch, English",Netherlands,Male,No
392,1292.968,28,Belgium,Belgium,Full-Time,Dutch,"English, Dutch, French",Belgium,Male,No
391,2555.013,64,United Kingdom,United Kingdom,DATA EXPIRED,English,"Dutch, English",United Kingdom,Female,DATA EXPIRED
398,1491.913,33,Netherlands,Ireland,Part-Time,Dutch,"Dutch, English",Netherlands,Female,No
412,3661.245,34,Ireland,Netherlands,Full-Time,DATA EXPIRED,"English, Dutch",Ireland,Female,No
411,711.036,30,Netherlands,Netherlands,Full-Time,Dutch,"Dutch, English",Netherlands,Male,No
409,361.154,33,Netherlands,Netherlands,Full-Time,Dutch,"English, Dutch",Netherlands,Male,No
407,1662.186,20,Belgium,Belgium,Other,Dutch,"Dutch, English, French",Belgium,Male,Yes
406,573.075,32,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,No
405,721.181,23,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,Yes
404,1781.931,18,Netherlands,Netherlands,Part-Time,Dutch,"Dutch, English",Netherlands,Female,No
401,1418.013,29,Netherlands,United Kingdom,Full-Time,Dutch,"Dutch, English",Netherlands,Male,DATA EXPIRED
402,4680.443,30,Netherlands,Portugal,Full-Time,Dutch,"Dutch, German, English",Netherlands,Male,No
399,965.396,31,Belgium,United Kingdom,Full-Time,Dutch,"Chinese, Dutch, English, French, Italian",Belgium,Male,No
400,1812.132,19,Belgium,Belgium,Other,Dutch,"Dutch, English",Belgium,Female,Yes
410,3250.694,21,Spain,Belgium,DATA EXPIRED,Dutch,"Dutch, English, French, Italian",Spain,Female,Yes
403,1273.848,25,Netherlands,Netherlands,Part-Time,Dutch,"English, Dutch",Netherlands,Female,Yes
408,492.373,24,United Kingdom,United Kingdom,Other,English,"Dutch, English",United Kingdom,Female,Yes
