category,num_of_samples,omstr,niet,idk,ocr,no_majority
100–91,553,50,498,1,4,0
90–81,494,48,431,2,13,0
80–71,502,73,374,22,33,0
70–61,170,34,112,12,12,0
60–51,405,96,238,35,36,0
50–41,316,49,84,40,30,113
<41,80,6,6,6,2,60
